Data,Temperatura,Vendas
2023-01-01,32.5,232
2023-01-02,29.3,268
2023-01-03,33.2,309
2023-01-04,37.6,315
2023-01-05,28.8,278
2023-01-06,28.8,311
2023-01-07,37.9,521
2023-01-08,33.8,350
2023-01-09,27.7,290
2023-01-10,32.7,322
2023-01-11,27.7,170
2023-01-12,27.7,275
2023-01-13,31.2,315
2023-01-14,20.4,305
2023-01-15,21.4,205
2023-01-16,27.2,288
2023-01-17,24.9,247
2023-01-18,31.6,241
2023-01-19,25.5,312
2023-01-20,22.9,263
2023-01-21,37.3,432
2023-01-22,28.9,236
2023-01-23,30.3,388
2023-01-24,22.9,164
2023-01-25,27.3,304
2023-01-26,30.6,439
2023-01-27,24.2,194
2023-01-28,31.9,282
2023-01-29,27.0,275
2023-01-30,28.5,256
2023-01-31,27.0,186
2023-02-01,39.3,397
2023-02-02,29.9,235
2023-02-03,24.7,270
2023-02-04,34.1,278
2023-02-05,23.9,313
2023-02-06,31.0,261
2023-02-07,20.2,189
2023-02-08,23.4,271
2023-02-09,31.0,233
2023-02-10,33.7,352
2023-02-11,30.9,389
2023-02-12,29.4,199
2023-02-13,28.5,295
2023-02-14,22.6,237
2023-02-15,26.4,305
2023-02-16,27.7,208
2023-02-17,35.3,259
2023-02-18,31.7,350
2023-02-19,21.2,224
2023-02-20,31.6,332
2023-02-21,28.1,300
2023-02-22,26.6,229
2023-02-23,33.1,345
2023-02-24,35.2,372
2023-02-25,34.7,297
2023-02-26,25.8,354
2023-02-27,28.5,311
2023-02-28,31.7,241
2023-03-01,34.9,394
2023-03-02,27.6,222
2023-03-03,29.1,336
2023-03-04,24.5,301
2023-03-05,24.0,200
2023-03-06,34.1,406
2023-03-07,36.8,398
2023-03-08,29.6,345
2023-03-09,35.0,483
2023-03-10,31.8,302
2023-03-11,26.8,227
2023-03-12,31.8,261
2023-03-13,37.7,315
2023-03-14,29.8,293
2023-03-15,37.8,404
2023-03-16,16.9,178
2023-03-17,34.1,397
2023-03-18,30.4,305
2023-03-19,28.5,367
2023-03-20,30.5,288
2023-03-21,20.1,309
2023-03-22,28.9,325
2023-03-23,31.8,263
2023-03-24,37.4,293
2023-03-25,27.4,300
2023-03-26,26.0,247
2023-03-27,27.5,314
2023-03-28,34.6,378
2023-03-29,31.6,311
2023-03-30,27.4,227
2023-03-31,32.6,226
2023-04-01,30.5,277
2023-04-02,34.8,408
2023-04-03,26.5,276
2023-04-04,28.4,212
2023-04-05,28.0,290
2023-04-06,22.7,244
2023-04-07,31.5,259
2023-04-08,31.3,322
2023-04-09,30.0,303
2023-04-10,28.8,222
